sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
68,BC,WG06_189,F,6,1,,NA,NA,,6,1,,2002,2002_10,64,"C21 C13/14 chick 4 li 2, 3",,Kapunga,0.6,3,2,6,4,0,No,NA,NA,NA,NA,NA,,WG06_157,BC*6,WPO,0,No,No,,6,dead,bird of prey,
69,BC,WG06_190,M,4,1,,NA,NA,,4,1,,2002,2002_10,64,"C22 C13/14 chick 2 li 1, 4",,Kapunga,0.8,4,4,6,4,0,No,NA,NA,NA,NA,NA,,WG06_157,BC*6,WPO,0,No,No,,4,dead,bird of prey,
70,BC,WG06_191,F,8,1,,NA,NA,,8,1,,2002,2002_10,64,"C23 C13/14 chick 3 r? 2, 3",,Kapunga,0.4,2,1,6,4,0,No,NA,NA,NA,NA,NA,,WG06_157,BC*6,WPO,0,No,No,,8,dead,bird of prey,
71,BC,WG06_192,F,13,0,,NA,NA,,13,0,,2002,2002_11,65,"C24 RGC chick 1 r? 1, 4",,Kapunga,0.4,2,1,4,4,3,Yes,13,71,29.7,30,10,,WG06_147,WG06_148,WPO,0,Yes,No,,13,Censored,,
72,BC,WG06_193,F,14,0,,NA,NA,,14,0,,2002,2002_11,65,"C25 RGC chick 2 li 1, 4",,Kapunga,0.2,1,0,4,4,3,Yes,14,103,31.7,39,13,,WG06_147,WG06_148,WPO,0,Yes,No,,14,Censored,,
73,BC,WG06_194,M,12,0,,NA,NA,,12,0,,2002,2002_11,65,"C26 RGC chick 3 ri 2, 3",,Kapunga,0.8,3,2,4,4,3,Yes,12,93,31.2,39,10,,WG06_147,WG06_148,WPO,0,Yes,No,,12,Censored,,
74,BC,WG06_199,M,12,0,,NA,NA,,12,0,,2002,2002_12,62,C30 GN 44366 C13 chick,,Kapunga,0.2,1,0,4,2,2,Yes,12,71,27.4,31,0,,WG06_131,BC*7,WPO,0,Yes,No,,12,Censored,,
75,BC,WG06_200,F,9,0,,NA,NA,,9,0,,2002,2002_12,62,C31 chick 2 C12,,Kapunga,0.8,3,4,4,2,2,Yes,9,49,21.6,13,0,,WG06_131,BC*7,WPO,0,Yes,No,,9,Censored,,
76,BC,WG06_220,M,14,0,,NA,NA,,14,0,,2002,2002_13,85,"C51 C13/14 chick 1 ri 1, 4",,Kapunga,0.2,1,0,4,2,2,Yes,14,78,29.5,40,12,,WG06_157,WG06_162,WPO,0,Yes,No,,14,Censored,,
77,BC,WG06_218,M,11,0,,NA,NA,,11,0,,2002,2002_13,85,C49 C13/14 nat chick 2,,Kapunga,1,4,3,4,2,2,Yes,11,54,24.7,17,0,,WG06_157,BC*6,EPO,1,Yes,No,,11,Censored,,
